"trade_date","segment","token","symbol","expirydate","insttype","optiontype","strikeprice","lotmultiple","lotsize","ticksize","name","series","divisor","exch","fullname","freeze_qty"
2026-07-01,F&O,35042,NIFTYNXT50,"1472135400",OPTIDX,CE,8320000,1.0,25,5.0,NIFTYNXT5026AUG83200CE,XX,100,NSE,OPT NIFTYNXT50 83200.00 CE 2026-08-25,1800
2026-07-01,F&O,35043,NIFTYNXT50,"1472135400",OPTIDX,PE,8320000,1.0,25,5.0,NIFTYNXT5026AUG83200PE,XX,100,NSE,OPT NIFTYNXT50 83200.00 PE 2026-08-25,1800
2026-07-01,F&O,35044,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35045,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35046,NIFTYNXT50,"1472135400",OPTIDX,CE,8330000,1.0,25,5.0,NIFTYNXT5026AUG83300CE,XX,100,NSE,OPT NIFTYNXT50 83300.00 CE 2026-08-25,1800
2026-07-01,F&O,35047,NIFTYNXT50,"1472135400",OPTIDX,PE,8330000,1.0,25,5.0,NIFTYNXT5026AUG83300PE,XX,100,NSE,OPT NIFTYNXT50 83300.00 PE 2026-08-25,1800
2026-07-01,F&O,35048,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35049,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35050,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35051,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35052,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35053,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35054,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35055,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35056,NIFTY,"1469716200",OPTIDX,CE,2940000,1.0,65,5.0,NIFTY26JUL29400CE,XX,100,NSE,OPT NIFTY 29400.00 CE 2026-07-28,1800
2026-07-01,F&O,35057,NIFTY,"1469716200",OPTIDX,PE,2940000,1.0,65,5.0,NIFTY26JUL29400PE,XX,100,NSE,OPT NIFTY 29400.00 PE 2026-07-28,1800
2026-07-01,F&O,35058,NIFTY,"1469716200",OPTIDX,CE,2945000,1.0,65,5.0,NIFTY26JUL29450CE,XX,100,NSE,OPT NIFTY 29450.00 CE 2026-07-28,1800
2026-07-01,F&O,35059,NIFTY,"1469716200",OPTIDX,PE,2945000,1.0,65,5.0,NIFTY26JUL29450PE,XX,100,NSE,OPT NIFTY 29450.00 PE 2026-07-28,1800
2026-07-01,F&O,35060,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35061,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35062,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35063,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35064,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35065,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35066,NIFTYNXT50,"1472135400",OPTIDX,CE,8340000,1.0,25,5.0,NIFTYNXT5026AUG83400CE,XX,100,NSE,OPT NIFTYNXT50 83400.00 CE 2026-08-25,1800
2026-07-01,F&O,35067,NIFTYNXT50,"1472135400",OPTIDX,PE,8340000,1.0,25,5.0,NIFTYNXT5026AUG83400PE,XX,100,NSE,OPT NIFTYNXT50 83400.00 PE 2026-08-25,1800
2026-07-01,F&O,35068,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35069,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
