# futures basket -- roots from its own definition file
# near: one contract per root (front month)
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_INDEX_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 5 contract(s), expiries 26SEP
NSE:BANKNIFTY26SEPFUT
NSE:FINNIFTY26SEPFUT
NSE:MIDCPNIFTY26SEPFUT
NSE:NIFTY26SEPFUT
NSE:NIFTYNXT5026SEPFUT
