# futures basket -- roots from its own definition file
# all: every live expiry per root
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XBOM_INDEX_FUTURES_ALL.parquet at 2026-09-07T04:00:13Z
# 6 contract(s), expiries 26NOV, 26OCT, 26SEP
BSE:BANKEX26NOVFUT
BSE:BANKEX26OCTFUT
BSE:BANKEX26SEPFUT
BSE:SENSEX26NOVFUT
BSE:SENSEX26OCTFUT
BSE:SENSEX26SEPFUT
