# futures basket -- roots from XNSE_NIFTY50_EQUITY
# near: one contract per root (front month)
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_NIFTY50_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 50 contract(s), expiries 26SEP
NSE:ADANIENT26SEPFUT
NSE:ADANIPORTS26SEPFUT
NSE:APOLLOHOSP26SEPFUT
NSE:ASIANPAINT26SEPFUT
NSE:AXISBANK26SEPFUT
NSE:BAJAJ-AUTO26SEPFUT
NSE:BAJAJFINSV26SEPFUT
NSE:BAJFINANCE26SEPFUT
NSE:BEL26SEPFUT
NSE:BHARTIARTL26SEPFUT
NSE:CIPLA26SEPFUT
NSE:COALINDIA26SEPFUT
NSE:DRREDDY26SEPFUT
NSE:EICHERMOT26SEPFUT
NSE:ETERNAL26SEPFUT
NSE:GRASIM26SEPFUT
NSE:HCLTECH26SEPFUT
NSE:HDFCBANK26SEPFUT
NSE:HDFCLIFE26SEPFUT
NSE:HINDALCO26SEPFUT
NSE:HINDUNILVR26SEPFUT
NSE:ICICIBANK26SEPFUT
NSE:INDIGO26SEPFUT
NSE:INFY26SEPFUT
NSE:ITC26SEPFUT
NSE:JIOFIN26SEPFUT
NSE:JSWSTEEL26SEPFUT
NSE:KOTAKBANK26SEPFUT
NSE:LT26SEPFUT
NSE:M&M26SEPFUT
NSE:MARUTI26SEPFUT
NSE:MAXHEALTH26SEPFUT
NSE:NESTLEIND26SEPFUT
NSE:NTPC26SEPFUT
NSE:ONGC26SEPFUT
NSE:POWERGRID26SEPFUT
NSE:RELIANCE26SEPFUT
NSE:SBILIFE26SEPFUT
NSE:SBIN26SEPFUT
NSE:SHRIRAMFIN26SEPFUT
NSE:SUNPHARMA26SEPFUT
NSE:TATACONSUM26SEPFUT
NSE:TATASTEEL26SEPFUT
NSE:TCS26SEPFUT
NSE:TECHM26SEPFUT
NSE:TITAN26SEPFUT
NSE:TMPV26SEPFUT
NSE:TRENT26SEPFUT
NSE:ULTRACEMCO26SEPFUT
NSE:WIPRO26SEPFUT
