# source: futures on the underlyings of XNSE_NIFTY50_EQUITY
# roots come from that index list; expiries are re-picked from today's data
# all: every live expiry per root
# refreshed from constituents/contracts/20260907/XNSE_NIFTY50_FUTURES.parquet at 2026-09-07T03:55:00Z
# 150 contract(s), expiries 26NOV, 26OCT, 26SEP
NSE:ADANIENT26NOVFUT
NSE:ADANIENT26OCTFUT
NSE:ADANIENT26SEPFUT
NSE:ADANIPORTS26NOVFUT
NSE:ADANIPORTS26OCTFUT
NSE:ADANIPORTS26SEPFUT
NSE:APOLLOHOSP26NOVFUT
NSE:APOLLOHOSP26OCTFUT
NSE:APOLLOHOSP26SEPFUT
NSE:ASIANPAINT26NOVFUT
NSE:ASIANPAINT26OCTFUT
NSE:ASIANPAINT26SEPFUT
NSE:AXISBANK26NOVFUT
NSE:AXISBANK26OCTFUT
NSE:AXISBANK26SEPFUT
NSE:BAJAJ-AUTO26NOVFUT
NSE:BAJAJ-AUTO26OCTFUT
NSE:BAJAJ-AUTO26SEPFUT
NSE:BAJAJFINSV26NOVFUT
NSE:BAJAJFINSV26OCTFUT
NSE:BAJAJFINSV26SEPFUT
NSE:BAJFINANCE26NOVFUT
NSE:BAJFINANCE26OCTFUT
NSE:BAJFINANCE26SEPFUT
NSE:BEL26NOVFUT
NSE:BEL26OCTFUT
NSE:BEL26SEPFUT
NSE:BHARTIARTL26NOVFUT
NSE:BHARTIARTL26OCTFUT
NSE:BHARTIARTL26SEPFUT
NSE:CIPLA26NOVFUT
NSE:CIPLA26OCTFUT
NSE:CIPLA26SEPFUT
NSE:COALINDIA26NOVFUT
NSE:COALINDIA26OCTFUT
NSE:COALINDIA26SEPFUT
NSE:DRREDDY26NOVFUT
NSE:DRREDDY26OCTFUT
NSE:DRREDDY26SEPFUT
NSE:EICHERMOT26NOVFUT
NSE:EICHERMOT26OCTFUT
NSE:EICHERMOT26SEPFUT
NSE:ETERNAL26NOVFUT
NSE:ETERNAL26OCTFUT
NSE:ETERNAL26SEPFUT
NSE:GRASIM26NOVFUT
NSE:GRASIM26OCTFUT
NSE:GRASIM26SEPFUT
NSE:HCLTECH26NOVFUT
NSE:HCLTECH26OCTFUT
NSE:HCLTECH26SEPFUT
NSE:HDFCBANK26NOVFUT
NSE:HDFCBANK26OCTFUT
NSE:HDFCBANK26SEPFUT
NSE:HDFCLIFE26NOVFUT
NSE:HDFCLIFE26OCTFUT
