# source: every live option on the underlyings of XNSE_NIFTY50_FUTURES_NEAR
# roots come from that futures basket; expiries are re-picked from today's data, so the strikes below go stale but the basket does not
# near: options in the month its futures occupy
# refreshed from constituents/contracts/20260907/XNSE_OPTIONS_NIFTY50_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 7452 contract(s), 50 root(s), expiries 2026-09
NSE:ADANIENT26SEP1700CE
NSE:ADANIENT26SEP1700PE
NSE:ADANIENT26SEP1800CE
NSE:ADANIENT26SEP1800PE
NSE:ADANIENT26SEP1900CE
NSE:ADANIENT26SEP1900PE
NSE:ADANIENT26SEP1950CE
NSE:ADANIENT26SEP1950PE
NSE:ADANIENT26SEP2000CE
NSE:ADANIENT26SEP2000PE
NSE:ADANIENT26SEP2050CE
NSE:ADANIENT26SEP2050PE
NSE:ADANIENT26SEP2100CE
NSE:ADANIENT26SEP2100PE
NSE:ADANIENT26SEP2150CE
NSE:ADANIENT26SEP2150PE
NSE:ADANIENT26SEP2200CE
NSE:ADANIENT26SEP2200PE
NSE:ADANIENT26SEP2250CE
NSE:ADANIENT26SEP2250PE
NSE:ADANIENT26SEP2300CE
NSE:ADANIENT26SEP2300PE
NSE:ADANIENT26SEP2350CE
NSE:ADANIENT26SEP2350PE
NSE:ADANIENT26SEP2400CE
NSE:ADANIENT26SEP2400PE
NSE:ADANIENT26SEP2450CE
NSE:ADANIENT26SEP2450PE
NSE:ADANIENT26SEP2500CE
NSE:ADANIENT26SEP2500PE
NSE:ADANIENT26SEP2550CE
NSE:ADANIENT26SEP2550PE
NSE:ADANIENT26SEP2600CE
NSE:ADANIENT26SEP2600PE
NSE:ADANIENT26SEP2650CE
NSE:ADANIENT26SEP2650PE
NSE:ADANIENT26SEP2700CE
NSE:ADANIENT26SEP2700PE
NSE:ADANIENT26SEP2750CE
NSE:ADANIENT26SEP2750PE
NSE:ADANIENT26SEP2800CE
NSE:ADANIENT26SEP2800PE
NSE:ADANIENT26SEP2850CE
NSE:ADANIENT26SEP2850PE
NSE:ADANIENT26SEP2900CE
NSE:ADANIENT26SEP2900PE
NSE:ADANIENT26SEP2950CE
NSE:ADANIENT26SEP2950PE
NSE:ADANIENT26SEP3000CE
NSE:ADANIENT26SEP3000PE
NSE:ADANIENT26SEP3050CE
NSE:ADANIENT26SEP3050PE
NSE:ADANIENT26SEP3100CE
NSE:ADANIENT26SEP3100PE
NSE:ADANIENT26SEP3150CE
NSE:ADANIENT26SEP3150PE
NSE:ADANIENT26SEP3200CE
NSE:ADANIENT26SEP3200PE
NSE:ADANIENT26SEP3250CE
NSE:ADANIENT26SEP3250PE
NSE:ADANIENT26SEP3300CE
NSE:ADANIENT26SEP3300PE
NSE:ADANIENT26SEP3350CE
NSE:ADANIENT26SEP3350PE
NSE:ADANIENT26SEP3400CE
NSE:ADANIENT26SEP3400PE
NSE:ADANIENT26SEP3450CE
NSE:ADANIENT26SEP3450PE
NSE:ADANIENT26SEP3500CE
