# futures basket -- roots from XNSE_NIFTY500_EQUITY
# near: one contract per root (front month)
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_NIFTY500_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 210 contract(s), expiries 26SEP
NSE:360ONE26SEPFUT
NSE:ABB26SEPFUT
NSE:ABCAPITAL26SEPFUT
NSE:ADANIENSOL26SEPFUT
NSE:ADANIENT26SEPFUT
NSE:ADANIGREEN26SEPFUT
NSE:ADANIPORTS26SEPFUT
NSE:ADANIPOWER26SEPFUT
NSE:ALKEM26SEPFUT
NSE:AMBER26SEPFUT
NSE:AMBUJACEM26SEPFUT
NSE:ANGELONE26SEPFUT
NSE:APLAPOLLO26SEPFUT
NSE:APOLLOHOSP26SEPFUT
NSE:ASHOKLEY26SEPFUT
NSE:ASIANPAINT26SEPFUT
NSE:ASTRAL26SEPFUT
NSE:ATHERENERG26SEPFUT
NSE:AUBANK26SEPFUT
NSE:AUROPHARMA26SEPFUT
NSE:AXISBANK26SEPFUT
NSE:BAJAJ-AUTO26SEPFUT
NSE:BAJAJFINSV26SEPFUT
NSE:BAJAJHLDNG26SEPFUT
NSE:BAJFINANCE26SEPFUT
NSE:BANDHANBNK26SEPFUT
NSE:BANKBARODA26SEPFUT
NSE:BANKINDIA26SEPFUT
NSE:BDL26SEPFUT
NSE:BEL26SEPFUT
NSE:BHARATFORG26SEPFUT
NSE:BHARTIARTL26SEPFUT
NSE:BHEL26SEPFUT
NSE:BIOCON26SEPFUT
NSE:BLUESTARCO26SEPFUT
NSE:BOSCHLTD26SEPFUT
NSE:BPCL26SEPFUT
NSE:BRITANNIA26SEPFUT
NSE:BSE26SEPFUT
NSE:CAMS26SEPFUT
NSE:CANBK26SEPFUT
NSE:CDSL26SEPFUT
NSE:CGPOWER26SEPFUT
NSE:CHOLAFIN26SEPFUT
NSE:CIPLA26SEPFUT
NSE:COALINDIA26SEPFUT
NSE:COCHINSHIP26SEPFUT
NSE:COFORGE26SEPFUT
NSE:COLPAL26SEPFUT
NSE:CONCOR26SEPFUT
NSE:CROMPTON26SEPFUT
NSE:CUMMINSIND26SEPFUT
NSE:DABUR26SEPFUT
NSE:DELHIVERY26SEPFUT
NSE:DIVISLAB26SEPFUT
NSE:DIXON26SEPFUT
NSE:DLF26SEPFUT
NSE:DMART26SEPFUT
NSE:DRREDDY26SEPFUT
NSE:EICHERMOT26SEPFUT
