# futures basket -- roots from its own definition file
# near: one contract per root (front month)
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XIMC_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 29 contract(s), expiries 26DEC, 26NOV, 26OCT, 26SEP
MCX:ALUMINI26SEPFUT
MCX:ALUMINIUM26SEPFUT
MCX:CARDAMOM26SEPFUT
MCX:COPPER26SEPFUT
MCX:COTTON26NOVFUT
MCX:COTTONOIL26SEPFUT
MCX:CRUDEOIL26SEPFUT
MCX:CRUDEOILM26SEPFUT
MCX:ELECDMBL26SEPFUT
MCX:GOLD26OCTFUT
MCX:GOLDGUINEA26SEPFUT
MCX:GOLDM26OCTFUT
MCX:GOLDPETAL26SEPFUT
MCX:GOLDTEN26SEPFUT
MCX:KAPAS26NOVFUT
MCX:LEAD26SEPFUT
MCX:LEADMINI26SEPFUT
MCX:MCXBULLDEX26SEPFUT
MCX:MCXMETLDEX26SEPFUT
MCX:MENTHAOIL26SEPFUT
MCX:NATGASMINI26SEPFUT
MCX:NATURALGAS26SEPFUT
MCX:NICKEL26SEPFUT
MCX:SILVER26DECFUT
MCX:SILVERM26NOVFUT
MCX:SILVERMIC26NOVFUT
MCX:STEELREBAR26SEPFUT
MCX:ZINC26SEPFUT
MCX:ZINCMINI26SEPFUT
