# source: every live option on the underlyings of XIMC_FUTURES_ALL
# roots come from that futures basket; expiries are re-picked from today's data, so the strikes below go stale but the basket does not
# all: every live option expiry
# refreshed from constituents/contracts/20260907/XIMC_OPTIONS_FUTURES_ALL.parquet at 2026-09-07T03:45:41Z
# 15432 contract(s), 11 root(s), expiries 2026-09, 2026-10, 2026-11, 2026-12, 2027-01, 2027-02, 2027-03, 2027-04, 2027-05, 2027-06, 2027-07
MCX:COPPER26DEC1240CE
MCX:COPPER26DEC1240PE
MCX:COPPER26DEC1250CE
MCX:COPPER26DEC1250PE
MCX:COPPER26DEC1260CE
MCX:COPPER26DEC1260PE
MCX:COPPER26DEC1270CE
MCX:COPPER26DEC1270PE
MCX:COPPER26DEC1280CE
MCX:COPPER26DEC1280PE
MCX:COPPER26DEC1290CE
MCX:COPPER26DEC1290PE
MCX:COPPER26DEC1300CE
MCX:COPPER26DEC1300PE
MCX:COPPER26DEC1310CE
MCX:COPPER26DEC1310PE
MCX:COPPER26DEC1320CE
MCX:COPPER26DEC1320PE
MCX:COPPER26DEC1330CE
MCX:COPPER26DEC1330PE
MCX:COPPER26DEC1340CE
MCX:COPPER26DEC1340PE
MCX:COPPER26DEC1350CE
MCX:COPPER26DEC1350PE
MCX:COPPER26DEC1360CE
MCX:COPPER26DEC1360PE
MCX:COPPER26DEC1370CE
MCX:COPPER26DEC1370PE
MCX:COPPER26DEC1380CE
MCX:COPPER26DEC1380PE
MCX:COPPER26DEC1390CE
MCX:COPPER26DEC1390PE
MCX:COPPER26DEC1400CE
MCX:COPPER26DEC1400PE
MCX:COPPER26DEC1410CE
MCX:COPPER26DEC1410PE
MCX:COPPER26DEC1420CE
MCX:COPPER26DEC1420PE
MCX:COPPER26DEC1430CE
MCX:COPPER26DEC1430PE
MCX:COPPER26DEC1440CE
MCX:COPPER26DEC1440PE
MCX:COPPER26DEC1450CE
MCX:COPPER26DEC1450PE
MCX:COPPER26DEC1460CE
MCX:COPPER26DEC1460PE
MCX:COPPER26DEC1470CE
MCX:COPPER26DEC1470PE
MCX:COPPER26DEC1480CE
MCX:COPPER26DEC1480PE
MCX:COPPER26DEC1490CE
MCX:COPPER26DEC1490PE
MCX:COPPER26DEC1500CE
MCX:COPPER26DEC1500PE
MCX:COPPER26DEC1510CE
MCX:COPPER26DEC1510PE
MCX:COPPER26DEC1520CE
MCX:COPPER26DEC1520PE
MCX:COPPER26DEC1530CE
MCX:COPPER26DEC1530PE
MCX:COPPER26DEC1540CE
MCX:COPPER26DEC1540PE
MCX:COPPER26DEC1550CE
MCX:COPPER26DEC1550PE
MCX:COPPER26DEC1560CE
MCX:COPPER26DEC1560PE
MCX:COPPER26NOV1210CE
MCX:COPPER26NOV1210PE
MCX:COPPER26NOV1220CE
MCX:COPPER26NOV1220PE
MCX:COPPER26NOV1230CE
MCX:COPPER26NOV1230PE
MCX:COPPER26NOV1240CE
MCX:COPPER26NOV1240PE
MCX:COPPER26NOV1250CE
MCX:COPPER26NOV1250PE
MCX:COPPER26NOV1260CE
MCX:COPPER26NOV1260PE
MCX:COPPER26NOV1270CE
MCX:COPPER26NOV1270PE
MCX:COPPER26NOV1280CE
MCX:COPPER26NOV1280PE
MCX:COPPER26NOV1290CE
MCX:COPPER26NOV1290PE
MCX:COPPER26NOV1300CE
MCX:COPPER26NOV1300PE
