# futures basket -- roots from XNSE_NIFTY100_EQUITY
# near: one contract per root (front month)
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_NIFTY100_FUTURES_NEAR.parquet at 2026-09-07T04:00:13Z
# 97 contract(s), expiries 26SEP
NSE:ABB26SEPFUT
NSE:ADANIENSOL26SEPFUT
NSE:ADANIENT26SEPFUT
NSE:ADANIGREEN26SEPFUT
NSE:ADANIPORTS26SEPFUT
NSE:ADANIPOWER26SEPFUT
NSE:AMBUJACEM26SEPFUT
NSE:APOLLOHOSP26SEPFUT
NSE:ASIANPAINT26SEPFUT
NSE:AXISBANK26SEPFUT
NSE:BAJAJ-AUTO26SEPFUT
NSE:BAJAJFINSV26SEPFUT
NSE:BAJAJHLDNG26SEPFUT
NSE:BAJFINANCE26SEPFUT
NSE:BANKBARODA26SEPFUT
NSE:BEL26SEPFUT
NSE:BHARTIARTL26SEPFUT
NSE:BOSCHLTD26SEPFUT
NSE:BPCL26SEPFUT
NSE:BRITANNIA26SEPFUT
NSE:CANBK26SEPFUT
NSE:CGPOWER26SEPFUT
NSE:CHOLAFIN26SEPFUT
NSE:CIPLA26SEPFUT
NSE:COALINDIA26SEPFUT
NSE:CUMMINSIND26SEPFUT
NSE:DIVISLAB26SEPFUT
NSE:DLF26SEPFUT
NSE:DMART26SEPFUT
NSE:DRREDDY26SEPFUT
NSE:EICHERMOT26SEPFUT
NSE:ETERNAL26SEPFUT
NSE:GAIL26SEPFUT
NSE:GODREJCP26SEPFUT
NSE:GRASIM26SEPFUT
NSE:HAL26SEPFUT
NSE:HCLTECH26SEPFUT
NSE:HDFCAMC26SEPFUT
NSE:HDFCBANK26SEPFUT
NSE:HDFCLIFE26SEPFUT
NSE:HINDALCO26SEPFUT
NSE:HINDUNILVR26SEPFUT
NSE:HINDZINC26SEPFUT
NSE:HYUNDAI26SEPFUT
NSE:ICICIBANK26SEPFUT
NSE:INDHOTEL26SEPFUT
NSE:INDIGO26SEPFUT
NSE:INFY26SEPFUT
NSE:IOC26SEPFUT
NSE:IRFC26SEPFUT
NSE:ITC26SEPFUT
NSE:JINDALSTEL26SEPFUT
NSE:JIOFIN26SEPFUT
NSE:JSWSTEEL26SEPFUT
NSE:KOTAKBANK26SEPFUT
NSE:LODHA26SEPFUT
NSE:LT26SEPFUT
NSE:LTM26SEPFUT
NSE:M&M26SEPFUT
NSE:MARUTI26SEPFUT
NSE:MAXHEALTH26SEPFUT
NSE:MAZDOCK26SEPFUT
NSE:MOTHERSON26SEPFUT
NSE:MUTHOOTFIN26SEPFUT
NSE:NESTLEIND26SEPFUT
NSE:NTPC26SEPFUT
NSE:ONGC26SEPFUT
NSE:PFC26SEPFUT
NSE:PIDILITIND26SEPFUT
NSE:PNB26SEPFUT
NSE:POWERGRID26SEPFUT
NSE:RECLTD26SEPFUT
NSE:RELIANCE26SEPFUT
NSE:SBILIFE26SEPFUT
NSE:SBIN26SEPFUT
NSE:SHREECEM26SEPFUT
NSE:SHRIRAMFIN26SEPFUT
NSE:SIEMENS26SEPFUT
NSE:SOLARINDS26SEPFUT
NSE:SUNPHARMA26SEPFUT
NSE:TATACONSUM26SEPFUT
NSE:TATAPOWER26SEPFUT
NSE:TATASTEEL26SEPFUT
NSE:TCS26SEPFUT
NSE:TECHM26SEPFUT
NSE:TITAN26SEPFUT
NSE:TMPV26SEPFUT
NSE:TORNTPHARM26SEPFUT
NSE:TRENT26SEPFUT
NSE:TVSMOTOR26SEPFUT
NSE:ULTRACEMCO26SEPFUT
NSE:UNIONBANK26SEPFUT
NSE:UNITDSPR26SEPFUT
NSE:VBL26SEPFUT
NSE:VEDL26SEPFUT
NSE:WIPRO26SEPFUT
NSE:ZYDUSLIFE26SEPFUT
