# futures basket -- roots from its own definition file
# all: every live expiry per root
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_INDEX_FUTURES_ALL.parquet at 2026-09-07T04:00:13Z
# 15 contract(s), expiries 26NOV, 26OCT, 26SEP
NSE:BANKNIFTY26NOVFUT
NSE:BANKNIFTY26OCTFUT
NSE:BANKNIFTY26SEPFUT
NSE:FINNIFTY26NOVFUT
NSE:FINNIFTY26OCTFUT
NSE:FINNIFTY26SEPFUT
NSE:MIDCPNIFTY26NOVFUT
NSE:MIDCPNIFTY26OCTFUT
NSE:MIDCPNIFTY26SEPFUT
NSE:NIFTY26NOVFUT
NSE:NIFTY26OCTFUT
NSE:NIFTY26SEPFUT
NSE:NIFTYNXT5026NOVFUT
NSE:NIFTYNXT5026OCTFUT
NSE:NIFTYNXT5026SEPFUT
