# source: every live option on the underlyings of XNSE_INDEX_FUTURES_ALL
# roots come from that futures basket; expiries are re-picked from today's data, so the strikes below go stale but the basket does not
# all: every live option expiry
# refreshed from constituents/contracts/20260907/XNSE_OPTIONS_INDEX_FUTURES_ALL.parquet at 2026-09-07T03:55:00Z
# 10804 contract(s), 5 root(s), expiries 2026-09, 2026-10, 2026-11, 2026-12, 2027-03, 2027-06, 2027-12, 2028-06, 2028-12, 2029-06, 2029-12, 2030-06, 2030-12, 2031-06
NSE:BANKNIFTY26DEC34500CE
NSE:BANKNIFTY26DEC34500PE
NSE:BANKNIFTY26DEC36000CE
NSE:BANKNIFTY26DEC36000PE
NSE:BANKNIFTY26DEC37500CE
NSE:BANKNIFTY26DEC37500PE
NSE:BANKNIFTY26DEC39000CE
NSE:BANKNIFTY26DEC39000PE
NSE:BANKNIFTY26DEC40500CE
NSE:BANKNIFTY26DEC40500PE
NSE:BANKNIFTY26DEC42000CE
NSE:BANKNIFTY26DEC42000PE
NSE:BANKNIFTY26DEC43500CE
NSE:BANKNIFTY26DEC43500PE
NSE:BANKNIFTY26DEC45000CE
NSE:BANKNIFTY26DEC45000PE
NSE:BANKNIFTY26DEC46500CE
NSE:BANKNIFTY26DEC46500PE
NSE:BANKNIFTY26DEC48000CE
NSE:BANKNIFTY26DEC48000PE
NSE:BANKNIFTY26DEC49500CE
NSE:BANKNIFTY26DEC49500PE
NSE:BANKNIFTY26DEC51000CE
NSE:BANKNIFTY26DEC51000PE
NSE:BANKNIFTY26DEC52500CE
NSE:BANKNIFTY26DEC52500PE
NSE:BANKNIFTY26DEC54000CE
NSE:BANKNIFTY26DEC54000PE
NSE:BANKNIFTY26DEC55500CE
NSE:BANKNIFTY26DEC55500PE
NSE:BANKNIFTY26DEC57000CE
NSE:BANKNIFTY26DEC57000PE
NSE:BANKNIFTY26DEC58500CE
NSE:BANKNIFTY26DEC58500PE
NSE:BANKNIFTY26DEC60000CE
NSE:BANKNIFTY26DEC60000PE
NSE:BANKNIFTY26DEC61500CE
NSE:BANKNIFTY26DEC61500PE
NSE:BANKNIFTY26DEC63000CE
NSE:BANKNIFTY26DEC63000PE
NSE:BANKNIFTY26DEC64500CE
NSE:BANKNIFTY26DEC64500PE
NSE:BANKNIFTY26DEC66000CE
NSE:BANKNIFTY26DEC66000PE
NSE:BANKNIFTY26DEC67500CE
NSE:BANKNIFTY26DEC67500PE
NSE:BANKNIFTY26DEC69000CE
NSE:BANKNIFTY26DEC69000PE
NSE:BANKNIFTY26DEC70500CE
NSE:BANKNIFTY26DEC70500PE
NSE:BANKNIFTY26DEC72000CE
NSE:BANKNIFTY26DEC72000PE
NSE:BANKNIFTY26DEC73500CE
NSE:BANKNIFTY26DEC73500PE
NSE:BANKNIFTY26DEC75000CE
NSE:BANKNIFTY26DEC75000PE
NSE:BANKNIFTY26DEC76500CE
NSE:BANKNIFTY26DEC76500PE
NSE:BANKNIFTY26DEC78000CE
NSE:BANKNIFTY26DEC78000PE
NSE:BANKNIFTY26DEC79500CE
NSE:BANKNIFTY26DEC79500PE
NSE:BANKNIFTY26DEC81000CE
NSE:BANKNIFTY26DEC81000PE
NSE:BANKNIFTY26NOV34500CE
NSE:BANKNIFTY26NOV34500PE
NSE:BANKNIFTY26NOV35000CE
NSE:BANKNIFTY26NOV35000PE
NSE:BANKNIFTY26NOV35500CE
NSE:BANKNIFTY26NOV35500PE
NSE:BANKNIFTY26NOV36000CE
NSE:BANKNIFTY26NOV36000PE
NSE:BANKNIFTY26NOV36500CE
NSE:BANKNIFTY26NOV36500PE
NSE:BANKNIFTY26NOV37000CE
NSE:BANKNIFTY26NOV37000PE
NSE:BANKNIFTY26NOV37500CE
NSE:BANKNIFTY26NOV37500PE
NSE:BANKNIFTY26NOV38000CE
NSE:BANKNIFTY26NOV38000PE
NSE:BANKNIFTY26NOV38500CE
NSE:BANKNIFTY26NOV38500PE
NSE:BANKNIFTY26NOV39000CE
NSE:BANKNIFTY26NOV39000PE
NSE:BANKNIFTY26NOV39500CE
NSE:BANKNIFTY26NOV39500PE
NSE:BANKNIFTY26NOV40000CE
NSE:BANKNIFTY26NOV40000PE
NSE:BANKNIFTY26NOV40500CE
NSE:BANKNIFTY26NOV40500PE
NSE:BANKNIFTY26NOV41000CE
NSE:BANKNIFTY26NOV41000PE
NSE:BANKNIFTY26NOV41500CE
NSE:BANKNIFTY26NOV41500PE
NSE:BANKNIFTY26NOV42000CE
NSE:BANKNIFTY26NOV42000PE
NSE:BANKNIFTY26NOV42200CE
NSE:BANKNIFTY26NOV42200PE
NSE:BANKNIFTY26NOV42300CE
NSE:BANKNIFTY26NOV42300PE
NSE:BANKNIFTY26NOV42400CE
NSE:BANKNIFTY26NOV42400PE
NSE:BANKNIFTY26NOV42500CE
NSE:BANKNIFTY26NOV42500PE
NSE:BANKNIFTY26NOV42600CE
NSE:BANKNIFTY26NOV42600PE
NSE:BANKNIFTY26NOV42700CE
NSE:BANKNIFTY26NOV42700PE
NSE:BANKNIFTY26NOV42800CE
NSE:BANKNIFTY26NOV42800PE
NSE:BANKNIFTY26NOV42900CE
NSE:BANKNIFTY26NOV42900PE
NSE:BANKNIFTY26NOV43000CE
NSE:BANKNIFTY26NOV43000PE
NSE:BANKNIFTY26NOV43100CE
NSE:BANKNIFTY26NOV43100PE
NSE:BANKNIFTY26NOV43200CE
NSE:BANKNIFTY26NOV43200PE
NSE:BANKNIFTY26NOV43300CE
NSE:BANKNIFTY26NOV43300PE
NSE:BANKNIFTY26NOV43400CE
NSE:BANKNIFTY26NOV43400PE
NSE:BANKNIFTY26NOV43500CE
NSE:BANKNIFTY26NOV43500PE
NSE:BANKNIFTY26NOV43600CE
NSE:BANKNIFTY26NOV43600PE
NSE:BANKNIFTY26NOV43700CE
NSE:BANKNIFTY26NOV43700PE
NSE:BANKNIFTY26NOV43800CE
NSE:BANKNIFTY26NOV43800PE
NSE:BANKNIFTY26NOV43900CE
NSE:BANKNIFTY26NOV43900PE
NSE:BANKNIFTY26NOV44000CE
NSE:BANKNIFTY26NOV44000PE
NSE:BANKNIFTY26NOV44100CE
NSE:BANKNIFTY26NOV44100PE
NSE:BANKNIFTY26NOV44200CE
NSE:BANKNIFTY26NOV44200PE
NSE:BANKNIFTY26NOV44300CE
NSE:BANKNIFTY26NOV44300PE
NSE:BANKNIFTY26NOV44400CE
NSE:BANKNIFTY26NOV44400PE
NSE:BANKNIFTY26NOV44500CE
NSE:BANKNIFTY26NOV44500PE
NSE:BANKNIFTY26NOV44600CE
NSE:BANKNIFTY26NOV44600PE
NSE:BANKNIFTY26NOV44700CE
NSE:BANKNIFTY26NOV44700PE
NSE:BANKNIFTY26NOV44800CE
NSE:BANKNIFTY26NOV44800PE
NSE:BANKNIFTY26NOV44900CE
