# futures basket -- roots from XNSE_NIFTY100_EQUITY
# all: every live expiry per root
# expiries are re-picked from today's data, so the contracts below go stale but the basket does not
# refreshed from constituents/contracts/20260907/XNSE_NIFTY100_FUTURES_ALL.parquet at 2026-09-07T04:00:13Z
# 290 contract(s), expiries 26NOV, 26OCT, 26SEP
NSE:ABB26NOVFUT
NSE:ABB26OCTFUT
NSE:ABB26SEPFUT
NSE:ADANIENSOL26NOVFUT
NSE:ADANIENSOL26OCTFUT
NSE:ADANIENSOL26SEPFUT
NSE:ADANIENT26NOVFUT
NSE:ADANIENT26OCTFUT
NSE:ADANIENT26SEPFUT
NSE:ADANIGREEN26NOVFUT
NSE:ADANIGREEN26OCTFUT
NSE:ADANIGREEN26SEPFUT
NSE:ADANIPORTS26NOVFUT
NSE:ADANIPORTS26OCTFUT
NSE:ADANIPORTS26SEPFUT
NSE:ADANIPOWER26NOVFUT
NSE:ADANIPOWER26OCTFUT
NSE:ADANIPOWER26SEPFUT
NSE:AMBUJACEM26NOVFUT
NSE:AMBUJACEM26OCTFUT
NSE:AMBUJACEM26SEPFUT
NSE:APOLLOHOSP26NOVFUT
NSE:APOLLOHOSP26OCTFUT
NSE:APOLLOHOSP26SEPFUT
NSE:ASIANPAINT26NOVFUT
NSE:ASIANPAINT26OCTFUT
NSE:ASIANPAINT26SEPFUT
NSE:AXISBANK26NOVFUT
NSE:AXISBANK26OCTFUT
NSE:AXISBANK26SEPFUT
NSE:BAJAJ-AUTO26NOVFUT
NSE:BAJAJ-AUTO26OCTFUT
NSE:BAJAJ-AUTO26SEPFUT
NSE:BAJAJFINSV26NOVFUT
NSE:BAJAJFINSV26OCTFUT
NSE:BAJAJFINSV26SEPFUT
NSE:BAJAJHLDNG26OCTFUT
NSE:BAJAJHLDNG26SEPFUT
NSE:BAJFINANCE26NOVFUT
NSE:BAJFINANCE26OCTFUT
NSE:BAJFINANCE26SEPFUT
NSE:BANKBARODA26NOVFUT
NSE:BANKBARODA26OCTFUT
NSE:BANKBARODA26SEPFUT
NSE:BEL26NOVFUT
NSE:BEL26OCTFUT
NSE:BEL26SEPFUT
NSE:BHARTIARTL26NOVFUT
NSE:BHARTIARTL26OCTFUT
NSE:BHARTIARTL26SEPFUT
NSE:BOSCHLTD26NOVFUT
NSE:BOSCHLTD26OCTFUT
NSE:BOSCHLTD26SEPFUT
NSE:BPCL26NOVFUT
NSE:BPCL26OCTFUT
NSE:BPCL26SEPFUT
NSE:BRITANNIA26NOVFUT
NSE:BRITANNIA26OCTFUT
NSE:BRITANNIA26SEPFUT
NSE:CANBK26NOVFUT
NSE:CANBK26OCTFUT
NSE:CANBK26SEPFUT
NSE:CGPOWER26NOVFUT
NSE:CGPOWER26OCTFUT
NSE:CGPOWER26SEPFUT
NSE:CHOLAFIN26NOVFUT
NSE:CHOLAFIN26OCTFUT
NSE:CHOLAFIN26SEPFUT
NSE:CIPLA26NOVFUT
NSE:CIPLA26OCTFUT
NSE:CIPLA26SEPFUT
NSE:COALINDIA26NOVFUT
NSE:COALINDIA26OCTFUT
NSE:COALINDIA26SEPFUT
NSE:CUMMINSIND26NOVFUT
NSE:CUMMINSIND26OCTFUT
NSE:CUMMINSIND26SEPFUT
NSE:DIVISLAB26NOVFUT
NSE:DIVISLAB26OCTFUT
NSE:DIVISLAB26SEPFUT
NSE:DLF26NOVFUT
NSE:DLF26OCTFUT
NSE:DLF26SEPFUT
NSE:DMART26NOVFUT
NSE:DMART26OCTFUT
NSE:DMART26SEPFUT
NSE:DRREDDY26NOVFUT
NSE:DRREDDY26OCTFUT
NSE:DRREDDY26SEPFUT
NSE:EICHERMOT26NOVFUT
NSE:EICHERMOT26OCTFUT
NSE:EICHERMOT26SEPFUT
NSE:ETERNAL26NOVFUT
NSE:ETERNAL26OCTFUT
NSE:ETERNAL26SEPFUT
NSE:GAIL26NOVFUT
NSE:GAIL26OCTFUT
NSE:GAIL26SEPFUT
NSE:GODREJCP26NOVFUT
NSE:GODREJCP26OCTFUT
