# refreshed from constituents/contracts/20260907/XIMC_FUTURES_ALL.parquet at 2026-09-07T03:35:24Z
# 148 contract(s), expiries 26DEC, 26NOV, 26OCT, 26SEP, 27APR, 27AUG, 27FEB, 27JAN, 27JUL, 27JUN, 27MAR, 27MAY
MCX:ALUMINI26DECFUT
MCX:ALUMINI26NOVFUT
MCX:ALUMINI26OCTFUT
MCX:ALUMINI26SEPFUT
MCX:ALUMINI27JUNFUT
MCX:ALUMINI27MARFUT
MCX:ALUMINIUM26DECFUT
MCX:ALUMINIUM26NOVFUT
MCX:ALUMINIUM26OCTFUT
MCX:ALUMINIUM26SEPFUT
MCX:ALUMINIUM27JUNFUT
MCX:ALUMINIUM27MARFUT
MCX:CARDAMOM26DECFUT
MCX:CARDAMOM26NOVFUT
MCX:CARDAMOM26OCTFUT
MCX:CARDAMOM26SEPFUT
MCX:CARDAMOM27JANFUT
MCX:COPPER26DECFUT
MCX:COPPER26NOVFUT
MCX:COPPER26OCTFUT
MCX:COPPER26SEPFUT
MCX:COPPER27JUNFUT
MCX:COPPER27MARFUT
MCX:COTTON26DECFUT
MCX:COTTON26NOVFUT
MCX:COTTON27FEBFUT
MCX:COTTON27JANFUT
MCX:COTTON27MARFUT
MCX:COTTONOIL26DECFUT
MCX:COTTONOIL26NOVFUT
MCX:COTTONOIL26OCTFUT
MCX:COTTONOIL26SEPFUT
MCX:CRUDEOIL26DECFUT
MCX:CRUDEOIL26NOVFUT
MCX:CRUDEOIL26OCTFUT
MCX:CRUDEOIL26SEPFUT
MCX:CRUDEOIL27FEBFUT
MCX:CRUDEOIL27JANFUT
MCX:CRUDEOILM26DECFUT
MCX:CRUDEOILM26NOVFUT
MCX:CRUDEOILM26OCTFUT
MCX:CRUDEOILM26SEPFUT
MCX:CRUDEOILM27FEBFUT
MCX:CRUDEOILM27JANFUT
MCX:ELECDMBL26DECFUT
MCX:ELECDMBL26NOVFUT
MCX:ELECDMBL26OCTFUT
MCX:ELECDMBL26SEPFUT
MCX:GOLD26DECFUT
MCX:GOLD26OCTFUT
MCX:GOLD27APRFUT
MCX:GOLD27AUGFUT
