# source: NIFTY 500 index list (ind_nifty500list.csv)
# matched against XNFO-FYERS on 20260609 at 2026-06-09T04:59:00Z
# underlyings with futures: 211, without: 293; contracts: 629
NSE:360ONE26AUGFUT
NSE:360ONE26JULFUT
NSE:360ONE26JUNFUT
NSE:ABB26AUGFUT
NSE:ABB26JULFUT
NSE:ABB26JUNFUT
NSE:ABCAPITAL26AUGFUT
NSE:ABCAPITAL26JULFUT
NSE:ABCAPITAL26JUNFUT
NSE:ADANIENSOL26AUGFUT
NSE:ADANIENSOL26JULFUT
NSE:ADANIENSOL26JUNFUT
NSE:ADANIENT26AUGFUT
NSE:ADANIENT26JULFUT
NSE:ADANIENT26JUNFUT
NSE:ADANIGREEN26AUGFUT
NSE:ADANIGREEN26JULFUT
NSE:ADANIGREEN26JUNFUT
NSE:ADANIPORTS26AUGFUT
NSE:ADANIPORTS26JULFUT
NSE:ADANIPORTS26JUNFUT
NSE:ADANIPOWER26AUGFUT
NSE:ADANIPOWER26JULFUT
NSE:ADANIPOWER26JUNFUT
NSE:ALKEM26AUGFUT
NSE:ALKEM26JULFUT
NSE:ALKEM26JUNFUT
NSE:AMBER26AUGFUT
NSE:AMBER26JULFUT
NSE:AMBER26JUNFUT
NSE:AMBUJACEM26AUGFUT
NSE:AMBUJACEM26JULFUT
NSE:AMBUJACEM26JUNFUT
NSE:ANGELONE26AUGFUT
NSE:ANGELONE26JULFUT
NSE:ANGELONE26JUNFUT
NSE:APLAPOLLO26AUGFUT
NSE:APLAPOLLO26JULFUT
NSE:APLAPOLLO26JUNFUT
NSE:APOLLOHOSP26AUGFUT
NSE:APOLLOHOSP26JULFUT
NSE:APOLLOHOSP26JUNFUT
NSE:ASHOKLEY26AUGFUT
NSE:ASHOKLEY26JULFUT
NSE:ASHOKLEY26JUNFUT
NSE:ASIANPAINT26AUGFUT
NSE:ASIANPAINT26JULFUT
NSE:ASIANPAINT26JUNFUT
NSE:ASTRAL26AUGFUT
NSE:ASTRAL26JULFUT
NSE:ASTRAL26JUNFUT
NSE:AUBANK26AUGFUT
NSE:AUBANK26JULFUT
NSE:AUBANK26JUNFUT
NSE:AUROPHARMA26AUGFUT
NSE:AUROPHARMA26JULFUT
NSE:AUROPHARMA26JUNFUT
NSE:AXISBANK26AUGFUT
NSE:AXISBANK26JULFUT
NSE:AXISBANK26JUNFUT
NSE:BAJAJ-AUTO26AUGFUT
NSE:BAJAJ-AUTO26JULFUT
NSE:BAJAJ-AUTO26JUNFUT
NSE:BAJAJFINSV26AUGFUT
NSE:BAJAJFINSV26JULFUT
NSE:BAJAJFINSV26JUNFUT
NSE:BAJAJHLDNG26AUGFUT
NSE:BAJAJHLDNG26JULFUT
NSE:BAJAJHLDNG26JUNFUT
NSE:BAJFINANCE26AUGFUT
NSE:BAJFINANCE26JULFUT
NSE:BAJFINANCE26JUNFUT
NSE:BANDHANBNK26AUGFUT
NSE:BANDHANBNK26JULFUT
NSE:BANDHANBNK26JUNFUT
NSE:BANKBARODA26AUGFUT
NSE:BANKBARODA26JULFUT
NSE:BANKBARODA26JUNFUT
NSE:BANKINDIA26AUGFUT
NSE:BANKINDIA26JULFUT
NSE:BANKINDIA26JUNFUT
