date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XIMC,HAL 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:HAL26JULFUT,61185,HAL,HAL,0,,INR
20260713,XIMC,HAVELLS 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:HAVELLS26JULFUT,61186,HAVELLS,HAVELLS,0,,INR
20260713,XIMC,HCLTECH 28 Jul 26 FUT,FUTSTK,FUTURE,100,400,10,,0345-1000|1245-1345,1785232800000000000,NSE:HCLTECH26JULFUT,61187,HCLTECH,HCLTECH,0,,INR
20260713,XIMC,HDFCAMC 28 Jul 26 FUT,FUTSTK,FUTURE,100,300,10,,0345-1000|1245-1345,1785232800000000000,NSE:HDFCAMC26JULFUT,61188,HDFCAMC,HDFCAMC,0,,INR
20260713,XIMC,HDFCBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,650,5,,0345-1000|1245-1345,1785232800000000000,NSE:HDFCBANK26JULFUT,61189,HDFCBANK,HDFCBANK,0,,INR
20260713,XIMC,HDFCLIFE 28 Jul 26 FUT,FUTSTK,FUTURE,100,1100,5,,0345-1000|1245-1345,1785232800000000000,NSE:HDFCLIFE26JULFUT,61190,HDFCLIFE,HDFCLIFE,0,,INR
20260713,XIMC,HEROMOTOCO 28 Jul 26 FUT,FUTSTK,FUTURE,100,150,10,,0345-1000|1245-1345,1785232800000000000,NSE:HEROMOTOCO26JULFUT,61191,HEROMOTOCO,HEROMOTOCO,0,,INR
20260713,XIMC,HINDALCO 28 Jul 26 FUT,FUTSTK,FUTURE,100,700,5,,0345-1000|1245-1345,1785232800000000000,NSE:HINDALCO26JULFUT,61192,HINDALCO,HINDALCO,0,,INR
20260713,XIMC,HINDPETRO 28 Jul 26 FUT,FUTSTK,FUTURE,100,2025,5,,0345-1000|1245-1345,1785232800000000000,NSE:HINDPETRO26JULFUT,61193,HINDPETRO,HINDPETRO,0,,INR
20260713,XIMC,HINDUNILVR 28 Jul 26 FUT,FUTSTK,FUTURE,100,300,10,,0345-1000|1245-1345,1785232800000000000,NSE:HINDUNILVR26JULFUT,61194,HINDUNILVR,HINDUNILVR,0,,INR
20260713,XIMC,HINDZINC 28 Jul 26 FUT,FUTSTK,FUTURE,100,1225,5,,0345-1000|1245-1345,1785232800000000000,NSE:HINDZINC26JULFUT,61195,HINDZINC,HINDZINC,0,,INR
20260713,XIMC,HYUNDAI 28 Jul 26 FUT,FUTSTK,FUTURE,100,275,10,,0345-1000|1245-1345,1785232800000000000,NSE:HYUNDAI26JULFUT,61196,HYUNDAI,HYUNDAI,0,,INR
20260713,XIMC,ICICIBANK 28 Jul 26 FUT,FUTSTK,FUTURE,100,700,10,,0345-1000|1245-1345,1785232800000000000,NSE:ICICIBANK26JULFUT,61197,ICICIBANK,ICICIBANK,0,,INR
20260713,XIMC,ICICIGI 28 Jul 26 FUT,FUTSTK,FUTURE,100,325,10,,0345-1000|1245-1345,1785232800000000000,NSE:ICICIGI26JULFUT,61198,ICICIGI,ICICIGI,0,,INR
20260713,XIMC,ICICIPRULI 28 Jul 26 FUT,FUTSTK,FUTURE,100,925,5,,0345-1000|1245-1345,1785232800000000000,NSE:ICICIPRULI26JULFUT,61199,ICICIPRULI,ICICIPRULI,0,,INR
20260713,XIMC,IDEA 28 Jul 26 FUT,FUTSTK,FUTURE,100,71475,1,,0345-1000|1245-1345,1785232800000000000,NSE:IDEA26JULFUT,61200,IDEA,IDEA,0,,INR
