date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XIMC,BANKNIFTY 28 Jul 26 FUT,FUTIDX,FUTURE,100,30,20,,0345-1000|1245-1345,1785232800000000000,NSE:BANKNIFTY26JULFUT,61088,BANKNIFTY,BANKNIFTY,0,,INR
20260713,XIMC,FINNIFTY 28 Jul 26 FUT,FUTIDX,FUTURE,100,60,10,,0345-1000|1245-1345,1785232800000000000,NSE:FINNIFTY26JULFUT,61091,FINNIFTY,FINNIFTY,0,,INR
20260713,XIMC,MIDCPNIFTY 28 Jul 26 FUT,FUTIDX,FUTURE,100,120,5,,0345-1000|1245-1345,1785232800000000000,NSE:MIDCPNIFTY26JULFUT,61092,MIDCPNIFTY,MIDCPNIFTY,0,,INR
20260713,XIMC,NIFTY 28 Jul 26 FUT,FUTIDX,FUTURE,100,65,10,,0345-1000|1245-1345,1785232800000000000,NSE:NIFTY26JULFUT,61093,NIFTY,NIFTY,0,,INR
20260713,XIMC,NIFTYNXT50 28 Jul 26 FUT,FUTIDX,FUTURE,100,25,20,,0345-1000|1245-1345,1785232800000000000,NSE:NIFTYNXT5026JULFUT,61094,NIFTYNXT50,NIFTYNXT50,0,,INR
