date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XNSE,MOTILAL OSWAL FIN LTD,EQ,EQUITY,100,1,5,INE338I01027,0330-0338|0345-1000|1245-1345,0,NSE:MOTILALOFS-EQ,14947,MOTILALOFS,MOTILALOFS,0,,INR
20260713,XNSE,MPHASIS LIMITED,EQ,EQUITY,100,1,10,INE356A01018,0330-0338|0345-1000|1245-1345,0,NSE:MPHASIS-EQ,4503,MPHASIS,MPHASIS,0,,INR
20260713,XNSE,MUTHOOT FINANCE LIMITED,EQ,EQUITY,100,1,10,INE414G01012,0330-0338|0345-1000|1245-1345,0,NSE:MUTHOOTFIN-EQ,23650,MUTHOOTFIN,MUTHOOTFIN,0,,INR
20260713,XNSE,NIPPON L I A M LTD,EQ,EQUITY,100,1,10,INE298J01013,0330-0338|0345-1000|1245-1345,0,NSE:NAM-INDIA-EQ,357,NAM-INDIA,NAM-INDIA,0,,INR
20260713,XNSE,NATIONAL ALUMINIUM CO LTD,EQ,EQUITY,100,1,5,INE139A01034,0330-0338|0345-1000|1245-1345,0,NSE:NATIONALUM-EQ,6364,NATIONALUM,NATIONALUM,0,,INR
20260713,XNSE,INFO EDGE (I) LTD,EQ,EQUITY,100,1,5,INE663F01032,0330-0338|0345-1000|1245-1345,0,NSE:NAUKRI-EQ,13751,NAUKRI,NAUKRI,0,,INR
20260713,XNSE,NBCC (INDIA) LIMITED,EQ,EQUITY,100,1,1,INE095N01031,0330-0338|0345-1000|1245-1345,0,NSE:NBCC-EQ,31415,NBCC,NBCC,0,,INR
20260713,XNSE,NESTLE INDIA LIMITED,EQ,EQUITY,100,1,10,INE239A01024,0330-0338|0345-1000|1245-1345,0,NSE:NESTLEIND-EQ,17963,NESTLEIND,NESTLEIND,0,,INR
20260713,XNSE,NHPC LTD,EQ,EQUITY,100,1,1,INE848E01016,0330-0338|0345-1000|1245-1345,0,NSE:NHPC-EQ,17400,NHPC,NHPC,0,,INR
20260713,XNSE,NMDC LTD.,EQ,EQUITY,100,1,1,INE584A01023,0330-0338|0345-1000|1245-1345,0,NSE:NMDC-EQ,15332,NMDC,NMDC,0,,INR
20260713,XNSE,NTPC LTD,EQ,EQUITY,100,1,5,INE733E01010,0330-0338|0345-1000|1245-1345,0,NSE:NTPC-EQ,11630,NTPC,NTPC,0,,INR
20260713,XNSE,NUVAMA WEALTH MANAGE LTD,EQ,EQUITY,100,1,10,INE531F01023,0330-0338|0345-1000|1245-1345,0,NSE:NUVAMA-EQ,18721,NUVAMA,NUVAMA,0,,INR
20260713,XNSE,FSN E COMMERCE VENTURES,EQ,EQUITY,100,1,5,INE388Y01029,0330-0338|0345-1000|1245-1345,0,NSE:NYKAA-EQ,6545,NYKAA,NYKAA,0,,INR
20260713,XNSE,OBEROI REALTY LIMITED,EQ,EQUITY,100,1,10,INE093I01010,0330-0338|0345-1000|1245-1345,0,NSE:OBEROIRLTY-EQ,20242,OBEROIRLTY,OBEROIRLTY,0,,INR
20260713,XNSE,ORACLE FIN SERV SOFT LTD.,EQ,EQUITY,100,1,100,INE881D01027,0330-0338|0345-1000|1245-1345,0,NSE:OFSS-EQ,10738,OFSS,OFSS,0,,INR
20260713,XNSE,OIL INDIA LTD,EQ,EQUITY,100,1,5,INE274J01014,0330-0338|0345-1000|1245-1345,0,NSE:OIL-EQ,17438,OIL,OIL,0,,INR
20260713,XNSE,OIL AND NATURAL GAS CORP.,EQ,EQUITY,100,1,1,INE213A01029,0330-0338|0345-1000|1245-1345,0,NSE:ONGC-EQ,2475,ONGC,ONGC,0,,INR
20260713,XNSE,PAGE INDUSTRIES LTD,EQ,EQUITY,100,1,500,INE761H01022,0330-0338|0345-1000|1245-1345,0,NSE:PAGEIND-EQ,14413,PAGEIND,PAGEIND,0,,INR
20260713,XNSE,PATANJALI FOODS LIMITED,EQ,EQUITY,100,1,5,INE619A01035,0330-0338|0345-1000|1245-1345,0,NSE:PATANJALI-EQ,17029,PATANJALI,PATANJALI,0,,INR
20260713,XNSE,ONE 97 COMMUNICATIONS LTD,EQ,EQUITY,100,1,10,INE982J01020,0330-0338|0345-1000|1245-1345,0,NSE:PAYTM-EQ,6705,PAYTM,PAYTM,0,,INR
20260713,XNSE,PERSISTENT SYSTEMS LTD,EQ,EQUITY,100,1,10,INE262H01021,0330-0338|0345-1000|1245-1345,0,NSE:PERSISTENT-EQ,18365,PERSISTENT,PERSISTENT,0,,INR
20260713,XNSE,PETRONET LNG LIMITED,EQ,EQUITY,100,1,5,INE347G01014,0330-0338|0345-1000|1245-1345,0,NSE:PETRONET-EQ,11351,PETRONET,PETRONET,0,,INR
20260713,XNSE,POWER FIN CORP LTD.,EQ,EQUITY,100,1,5,INE134E01011,0330-0338|0345-1000|1245-1345,0,NSE:PFC-EQ,14299,PFC,PFC,0,,INR
20260713,XNSE,PG ELECTROPLAST LTD,EQ,EQUITY,100,1,5,INE457L01029,0330-0338|0345-1000|1245-1345,0,NSE:PGEL-EQ,25358,PGEL,PGEL,0,,INR
20260713,XNSE,THE PHOENIX MILLS LTD,EQ,EQUITY,100,1,10,INE211B01039,0330-0338|0345-1000|1245-1345,0,NSE:PHOENIXLTD-EQ,14552,PHOENIXLTD,PHOENIXLTD,0,,INR
20260713,XNSE,PIDILITE INDUSTRIES LTD,EQ,EQUITY,100,1,10,INE318A01026,0330-0338|0345-1000|1245-1345,0,NSE:PIDILITIND-EQ,2664,PIDILITIND,PIDILITIND,0,,INR
20260713,XNSE,PI INDUSTRIES LTD,EQ,EQUITY,100,1,10,INE603J01030,0330-0338|0345-1000|1245-1345,0,NSE:PIIND-EQ,24184,PIIND,PIIND,0,,INR
20260713,XNSE,PUNJAB NATIONAL BANK,EQ,EQUITY,100,1,1,INE160A01022,0330-0338|0345-1000|1245-1345,0,NSE:PNB-EQ,10666,PNB,PNB,0,,INR
20260713,XNSE,PNB HOUSING FIN LTD.,EQ,EQUITY,100,1,10,INE572E01012,0330-0338|0345-1000|1245-1345,0,NSE:PNBHOUSING-EQ,18908,PNBHOUSING,PNBHOUSING,0,,INR
20260713,XNSE,PB FINTECH LIMITED,EQ,EQUITY,100,1,10,INE417T01026,0330-0338|0345-1000|1245-1345,0,NSE:POLICYBZR-EQ,6656,POLICYBZR,POLICYBZR,0,,INR
20260713,XNSE,POLYCAB INDIA LIMITED,EQ,EQUITY,100,1,50,INE455K01017,0330-0338|0345-1000|1245-1345,0,NSE:POLYCAB-EQ,9590,POLYCAB,POLYCAB,0,,INR
20260713,XNSE,POWER GRID CORP. LTD.,EQ,EQUITY,100,1,5,INE752E01010,0330-0338|0345-1000|1245-1345,0,NSE:POWERGRID-EQ,14977,POWERGRID,POWERGRID,0,,INR
20260713,XNSE,HITACHI ENERGY INDIA LTD,EQ,EQUITY,100,1,500,INE07Y701011,0330-0338|0345-1000|1245-1345,0,NSE:POWERINDIA-EQ,18457,POWERINDIA,POWERINDIA,0,,INR
20260713,XNSE,PREMIER ENERGIES LIMITED,EQ,EQUITY,100,1,10,INE0BS701011,0330-0338|0345-1000|1245-1345,0,NSE:PREMIERENE-EQ,25049,PREMIERENE,PREMIERENE,0,,INR
20260713,XNSE,PRESTIGE ESTATE LTD,EQ,EQUITY,100,1,10,INE811K01011,0330-0338|0345-1000|1245-1345,0,NSE:PRESTIGE-EQ,20302,PRESTIGE,PRESTIGE,0,,INR
20260713,XNSE,RBL BANK LIMITED,EQ,EQUITY,100,1,5,INE976G01028,0330-0338|0345-1000|1245-1345,0,NSE:RBLBANK-EQ,18391,RBLBANK,RBLBANK,0,,INR
20260713,XNSE,REC LIMITED,EQ,EQUITY,100,1,5,INE020B01018,0330-0338|0345-1000|1245-1345,0,NSE:RECLTD-EQ,15355,RECLTD,RECLTD,0,,INR
20260713,XNSE,RELIANCE INDUSTRIES LTD,EQ,EQUITY,100,1,10,INE002A01018,0330-0338|0345-1000|1245-1345,0,NSE:RELIANCE-EQ,2885,RELIANCE,RELIANCE,0,,INR
20260713,XNSE,RAIL VIKAS NIGAM LIMITED,EQ,EQUITY,100,1,1,INE415G01027,0330-0338|0345-1000|1245-1345,0,NSE:RVNL-EQ,9552,RVNL,RVNL,0,,INR
20260713,XNSE,STEEL AUTHORITY OF INDIA,EQ,EQUITY,100,1,1,INE114A01011,0330-0338|0345-1000|1245-1345,0,NSE:SAIL-EQ,2963,SAIL,SAIL,0,,INR
